0.803385,0.906371,0.750186,0.876161,0.870602,0.864612,0.781087,0.654671,0.59005,0.817542,0.803738,0.694313,0.691695,0.74214,0.775028,0.660972,0.830079,0.765068,0.854922,0.891499	0.777605,0.902566,0.764831,0.905848,0.878654,0.874755,0.73932,0.726754,0.737528,0.859924,0.766389,0.655271,0.732564,0.802002,0.686248,0.70991,0.87036,0.790438,0.849207,0.912423	0.0686929,0.0209122,-0.0343576,-0.143877,-0.0342564,-0.0416266,0.0988488,-0.137506,-0.261104,-0.142711,0.0972577,0.0716316,-0.0828511,-0.14788,0.189644,-0.092202,-0.145138,-0.0641854,0.0208603,-0.112146
0.354095,0.614954,0.615646,0.608765,0.679405,0.80282,0.374854,0.578633,0.404792,0.503426,0.763601,0.73356,0.576325,0.567566,0.747207,0.649685,0.593454,0.595858,0.719309,0.767659	0.302179,0.717619,0.429261,0.546947,0.821901,0.77516,0.297743,0.618808,0.508776,0.602707,0.666149,0.839764,0.642396,0.470378,0.654713,0.672958,0.84239,0.600523,0.642541,0.88508	0.0581363,-0.183757,0.253335,0.0926753,-0.322683,0.0732358,0.0867986,-0.0625841,-0.130953,-0.142526,0.198343,-0.276586,-0.104913,0.132583,0.181079,-0.0413521,-0.497793,-0.00726507,0.14274,-0.366298
0.32581,0.275022,0.395086,0.139448,-0.0972117,0.0629149,0.206775,0.178684,-0.102121,0.0290612,0.42426,0.226553,0.253059,0.267252,0.265718,0.0981966,0.350933,0.234289,0.417208,0.68801	0.423758,0.3905,0.145309,0.218369,0.0832093,0.370932,0.0930773,0.345206,0.0678641,0.350701,0.425173,0.33882,0.502274,0.481117,-0.0680694,0.205183,0.563493,0.347933,0.104234,0.776867	-0.113638,-0.129372,0.26499,-0.0813992,-0.178973,-0.315377,0.115929,-0.177468,-0.168815,-0.324951,-0.00111379,-0.121601,-0.285504,-0.245421,0.327857,-0.109186,-0.264954,-0.123731,0.327203,-0.190884
0.317073,0.593221,0.647848,0.569445,0.661036,0.749951,0.252861,0.529359,0.341775,0.441852,0.737216,0.475217,0.549152,0.529579,0.563701,0.543474,0.583065,0.490524,0.644802,0.773288	0.290302,0.701644,0.443649,0.462374,0.796935,0.708727,0.21598,0.490957,0.271859,0.484819,0.675864,0.622531,0.574492,0.356522,0.567064,0.511582,0.782531,0.466698,0.574456,0.870056	0.0294849,-0.185728,0.286563,0.145337,-0.287193,0.0879921,0.0390108,0.0518872,0.0770782,-0.0546809,0.122279,-0.209205,-0.0370192,0.213337,-0.00494182,0.0441731,-0.366846,0.0308994,0.111732,-0.29575
0.384569,0.304446,0.490002,0.295199,0.0250369,0.266667,0.440258,0.587707,0.47176,0.409933,0.694003,0.527769,0.547268,0.531116,0.63413,0.43408,0.564633,0.516015,0.550793,0.762869	0.511453,0.422353,0.236083,0.334753,0.202595,0.558248,0.363796,0.678926,0.4915,0.652951,0.737842,0.661345,0.715323,0.671382,0.421751,0.48897,0.721658,0.59594,0.25068,0.823355	-0.157951,-0.135305,0.287134,-0.0438914,-0.178463,-0.342579,0.0910437,-0.151782,-0.0256992,-0.33184,-0.0898446,-0.205198,-0.276168,-0.218001,0.289916,-0.0696798,-0.265008,-0.115418,0.348188,-0.162644
0.0285764,0.233996,0.268916,-0.140095,-0.0149615,-0.0188184,0.150987,0.239767,-0.197502,-0.0304472,0.502396,0.245267,0.368049,0.0270638,0.00442834,0.0519029,0.636421,0.167431,0.292825,0.792064	0.158607,0.244524,0.225315,-0.0297562,0.0240418,0.30406,0.108102,0.376114,-0.127856,0.188311,0.628425,0.263547,0.531597,0.350781,-0.207712,0.142166,0.60413,0.27168,0.0373948,0.752703	-0.130623,-0.0111677,0.0464126,-0.1108,-0.0389893,-0.321041,0.0435965,-0.149862,-0.0714503,-0.217511,-0.184177,-0.0195438,-0.20333,-0.32682,0.211946,-0.0909336,0.0524624,-0.109217,0.258258,0.0974729
-0.113451,-0.112821,0.0633784,-0.185146,-0.13042,-0.320013,-0.30816,-0.175618,-0.148044,-0.223231,-0.136054,-0.549721,-0.123906,-0.23676,-0.386283,-0.339641,-0.0196533,-0.375018,-0.277268,-0.105818	-0.71188,-0.749903,-0.495954,-0.829502,-0.589264,-0.658143,-0.718471,-0.422048,-0.532821,-0.71338,-0.364321,-0.45523,-0.318348,-0.645078,-0.472166,-0.433578,-0.334141,-0.648827,-0.694232,-0.543196	0.651007,0.695964,0.542287,0.761271,0.497042,0.428346,0.526988,0.266157,0.417728,0.582988,0.240171,-0.126029,0.202426,0.481921,0.105041,0.110159,0.316567,0.361857,0.516357,0.464051
0.192174,0.162169,0.2653,0.50705,0.319214,0.570473,0.588961,0.758489,0.743782,0.706804,0.68343,0.56651,0.557098,0.611947,0.593231,0.51356,0.698456,0.590012,0.487046,0.567672	-0.550556,-0.805428,-0.589794,-0.735379,-0.774034,-0.566272,-0.413214,0.0150699,-0.166979,-0.329549,-0.181805,-0.0144732,-0.0656521,-0.259186,-0.281124,-0.277975,-0.21588,-0.313178,-0.621354,-0.414153	0.671666,0.855814,0.739399,0.904984,0.876645,0.85919,0.806017,0.752014,0.810144,0.840564,0.76961,0.576259,0.600777,0.751879,0.74938,0.692654,0.794534,0.762328,0.850895,0.794934
-0.36833,-0.11057,-0.11196,-0.481073,0.186709,-0.241234,-0.0854361,0.115671,-0.154078,-0.102424,0.233658,-0.0094774,0.193972,-0.375282,-0.326192,-0.0952587,0.623299,-0.122249,-0.287076,0.21953	-0.304046,-0.532789,-0.469638,-0.696427,-0.681549,-0.756489,-0.315003,-0.348463,-0.543645,-0.445661,-0.374611,-0.63919,-0.230719,-0.470318,-0.757422,-0.610322,-0.0698679,-0.527331,-0.693931,-0.346424	-0.0723913,0.448649,0.377529,0.323856,0.770244,0.630275,0.235916,0.446151,0.425182,0.359654,0.559312,0.633551,0.406499,0.115405,0.572732,0.546857,0.66424,0.432995,0.508067,0.525955
-0.445378,-0.174677,-0.283407,-0.6191,-0.0715681,-0.57834,-0.393852,-0.588912,-0.707486,-0.586061,-0.476263,-0.513816,-0.337542,-0.657611,-0.683636,-0.525753,-0.0474415,-0.503829,-0.512528,-0.264519	-0.275706,-0.509698,-0.508041,-0.686968,-0.672991,-0.736197,-0.211304,-0.344822,-0.591693,-0.41749,-0.439939,-0.369755,-0.193925,-0.440737,-0.715447,-0.554983,-0.0803648,-0.401397,-0.665773,-0.351852	-0.193423,0.367764,0.262417,0.118093,0.631856,0.274903,-0.199119,-0.306287,-0.199167,-0.223176,-0.0459522,-0.17785,-0.153676,-0.305385,0.0622639,0.0412729,0.0330493,-0.128399,0.232622,0.0962953
