P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
dacty_ME	dacty_NAfr	canariensis	0.0379614	1.52609	0.126988	0.0064146	7704.18	899.451	833.66
dacty_ME	sylvestris	canariensis	0.03292	0.714125	0.47515	0.00793727	5598.37	1276.4	1195.04
dacty_ME	theophrasti	canariensis	0.0856581	1.9146	0.0555437	0.0313013	3499.86	2034.49	1713.45
dacty_NAfr	sylvestris	canariensis	0.00558832	0.142672	0.886549	0.00152666	5054.37	1399.09	1383.54
dacty_NAfr	theophrasti	canariensis	0.0814097	1.82112	0.068588	0.0250442	5089.47	1695.31	1440.06
sylvestris	theophrasti	canariensis	0.0630195	1.81487	0.0695434	0.0235779	3318.13	2021.36	1781.7
dacty_NAfr	dacty_ME	sylvestris	0.229768	7.2363	4.61108e-13	0.108584	4248.68	1788.79	1120.36
dacty_ME	dacty_NAfr	theophrasti	0.573621	14.808	2.3e-16	0.20258	5807.79	2649.09	717.78
sylvestris	dacty_ME	theophrasti	0.0549153	0.92536	0.354779	0.0170266	4206.62	1584	1419.08
sylvestris	dacty_NAfr	theophrasti	0.463271	10.6195	2.3e-16	0.216391	3333.23	3310.02	1214.12
