"","Distance","Rsquare","Number"
"1",100,0.243526667999323,1578
"2",200,0.149430074877273,1099
"3",300,0.143893325797836,868
"4",400,0.124587083600923,655
"5",500,0.128448328074234,541
"6",600,0.12975372355873,515
"7",700,0.118266567205572,430
"8",800,0.111562033644695,390
"9",900,0.107124491533009,291
"10",1000,0.0834329535972057,290
"11",1100,0.113150426049101,257
"12",1200,0.103275986073936,210
"13",1300,0.102001543869231,217
"14",1400,0.0952439933152502,177
"15",1500,0.101620017114562,157
"16",1600,0.102497274679135,154
"17",1700,0.110131866163686,142
"18",1800,0.0802888317853202,123
"19",1900,0.0874926618821167,119
"20",2000,0.0663305888428181,105
"21",2100,0.117978413974199,86
"22",2200,0.108097479841641,81
"23",2300,0.104918857660577,75
"24",2400,0.0975835941271184,67
"25",2500,0.103692449769103,79
"26",2600,0.107610042895523,57
"27",2700,0.109475408119052,62
"28",2800,0.119172300047496,49
"29",2900,0.0694636386191095,62
"30",3000,0.109146464837556,40
"31",3100,0.038309548871349,37
"32",3200,0.0829088047988422,41
"33",3300,0.103771471888519,47
"34",3400,0.0968350089737314,46
"35",3500,0.0910567059356303,33
"36",3600,0.101461164899202,28
"37",3700,0.0626991690571532,21
"38",3800,0.123038344504969,22
"39",3900,0.0747799095224944,19
"40",4000,0.0543347592108974,16
"41",4100,0.0923364470514637,15
"42",4200,0.128641576676227,20
"43",4300,0.0809168787040464,19
"44",4400,0.057360174123591,14
"45",4500,0.0337834375115047,24
"46",4600,0.101442922791157,16
"47",4700,0.115229051809845,20
"48",4800,0.0596342484018335,15
"49",4900,0.0531423174670395,17
"50",5000,0.0460955746353171,8
"51",5100,0.0578275433419974,12
"52",5200,0.100635010558021,19
"53",5300,0.0340177405450217,7
"54",5400,0.0450865848599133,10
"55",5500,0.0901946256057387,7
"56",5600,0.214978856161125,6
"57",5700,0.120783155500225,3
"58",5800,0.0369957513655974,5
"59",5900,0.0731552870288983,6
"60",6000,0.042170452047376,6
"61",6100,0.0630199941592112,8
"62",6200,0.0679598576727172,5
"63",6300,0.0874819861294997,5
"64",6400,0.104822592721432,3
"65",6500,0.0153230782238984,5
"66",6600,0.0594418425798041,7
"67",6700,0.0834696318662233,11
"68",6800,0.0922778771205842,9
"69",6900,0.0329835282278455,3
"70",7000,0.0929331913218499,6
"71",7100,0.0781273814908768,7
"72",7200,0.037496059491773,5
"73",7300,0.0999646354351034,3
"74",7400,0.249012402785729,2
"75",7500,0.0359176177357996,1
"76",7600,0.0778298058782383,2
"77",7700,0.0788500186745835,2
"78",7800,0.0415837550566518,4
"79",7900,0.0784966062491051,6
"80",8000,0.0476295139637761,6
"81",8100,0.181213406632843,3
"82",8200,NA,0
"83",8300,0.316211440073552,1
"84",8400,0.136133200727473,5
"85",8500,0.161557856433419,1
"86",8600,0.139614082757386,2
"87",8700,0.0682185124005108,3
"88",8800,0.157727696199567,1
"89",8900,0.034583784517594,4
"90",9000,0.0233359541972511,4
"91",9100,0.00982142984103159,6
"92",9200,NA,0
"93",9300,0.0877213037893435,1
"94",9400,0.0577394086025675,5
"95",9500,0.00132766310548698,1
"96",9600,0.104837545126354,1
"97",9700,NA,0
"98",9800,0.00782608695652174,1
"99",9900,0.0696262306256427,2
