chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NW_008246512.1	7065	31867	0.292559	0.150809	0.107998	0.090906
NW_008246512.1	24785	34739	0.299036	0.197595	0.085778	0.028788
NW_008246512.1	31891	41160	0.343453	0.215516	0.092962	0.030804
NW_008246512.1	34744	59577	0.421959	0.182997	0.093465	0.046051
NW_008246512.1	41182	66798	0.182132	0.047156	0.029561	0.012624
NW_008246512.1	59597	75799	0.108781	0.023946	0.019916	0.013804
NW_008246512.1	66843	87003	0.094057	0.025062	0.020057	0.014291
NW_008246512.1	75901	91764	-0.301901	-0.090899	-0.070027	-0.072777
NW_008246512.1	87118	96512	-0.285786	-0.140383	-0.095836	-0.099403
NW_008246512.1	91793	102374	0.009405	0.004350	0.003243	0.002531
NW_008246512.1	96513	111539	0.126260	0.032761	0.027747	0.018499
NW_008246512.1	102428	119846	0.282078	0.079767	0.070836	0.047340
NW_008246512.1	111540	127876	0.324965	0.101827	0.090726	0.066701
NW_008246512.1	119860	136459	0.286961	0.051905	0.046983	0.038440
NW_008246512.1	127892	140948	0.118775	0.017123	0.015587	0.018686
NW_008246512.1	136461	159321	0.092151	0.013900	0.012461	0.009695
NW_008246512.1	149810	166747	0.320902	0.038847	0.035186	0.019037
NW_008246512.1	159427	177322	0.307564	0.063575	0.054637	0.029063
NW_008246512.1	166760	194649	0.254765	0.058526	0.046138	0.029789
NW_008246512.1	177545	198676	0.199344	0.023649	0.019620	0.013571
NW_008246512.1	194763	208071	0.078630	0.007612	0.006697	0.006277
NW_008246512.1	198685	219731	0.217769	0.030211	0.025344	0.022865
NW_008246512.1	208100	236911	0.116966	0.016304	0.013140	0.010348
NW_008246512.1	219802	251981	-0.043259	-0.005174	-0.004198	-0.005642
NW_008246512.1	236939	263890	0.130226	0.011814	0.009468	0.004382
NW_008246512.1	252059	269911	0.316290	0.027762	0.023264	0.013453
NW_008246512.1	264122	281104	0.057625	0.012521	0.010321	0.005451
NW_008246512.1	270089	292455	0.006468	0.002680	0.002140	0.001554
NW_008246512.1	281122	299423	-0.105452	-0.049390	-0.037730	-0.043473
NW_008246512.1	292511	304112	-0.135600	-0.062623	-0.046247	-0.041267
NW_008246512.1	299447	318065	0.116223	0.026297	0.022115	0.012839
NW_008246512.1	304460	326010	0.312545	0.061491	0.052337	0.024309
NW_008246512.1	318066	332946	0.401060	0.131851	0.102982	0.070297
NW_008246512.1	326026	341543	0.516866	0.170986	0.128901	0.101825
NW_008246512.1	332967	350742	0.471552	0.152317	0.108984	0.084383
NW_008246512.1	341654	368452	0.202556	0.058774	0.045565	0.032805
NW_008246512.1	350753	376933	0.156571	0.060364	0.040203	0.019612
NW_008246512.1	368497	385785	0.230648	0.131092	0.066192	0.032463
NW_008246512.1	377044	395543	0.457037	0.165143	0.114513	0.082496
NW_008246512.1	385899	402079	0.591045	0.174950	0.138754	0.115008
NW_008246512.1	395570	413987	0.612098	0.158787	0.121803	0.088102
NW_008246512.1	402124	421604	0.604042	0.160727	0.112343	0.069862
NW_008246512.1	414062	427910	0.461284	0.162517	0.105433	0.057605
NW_008246512.1	421692	435027	0.364233	0.157806	0.097436	0.040513
NW_008246512.1	427928	444791	0.432468	0.160904	0.104663	0.049582
NW_008246512.1	435041	460478	0.596125	0.150375	0.116934	0.096642
NW_008246512.1	444792	466388	0.779900	0.153653	0.137417	0.228834
NW_008246512.1	460485	483272	0.699813	0.146221	0.123458	0.154522
NW_008246512.1	466459	489989	0.503003	0.131919	0.089608	0.074006
NW_008246512.1	483274	515787	0.546680	0.152588	0.104255	0.088347
NW_008246512.1	490011	526849	0.599699	0.149020	0.106075	0.057001
NW_008246512.1	515830	546507	0.516459	0.119762	0.069288	0.022421
NW_008246512.1	526863	557864	0.163799	0.062270	0.021185	0.004152
NW_008246512.1	546528	567053	0.247655	0.054460	0.029825	0.007938
NW_008246512.1	558136	574726	0.443937	0.057359	0.043420	0.019870
NW_008246512.1	567060	580126	0.251009	0.037317	0.029991	0.011533
NW_008246512.1	574727	585373	0.162069	0.031031	0.022915	0.008891
NW_008246512.1	580128	599422	-0.005659	-0.001232	-0.000799	-0.000450
NW_008246512.1	585485	606103	0.070955	0.016957	0.013034	0.010855
NW_008246512.1	599461	612790	0.223157	0.061573	0.055057	0.031075
NW_008246512.1	606279	623130	0.178628	0.040717	0.033761	0.014895
NW_008246512.1	612791	631411	0.319179	0.040485	0.032344	0.015850
NW_008246512.1	623179	639506	0.615714	0.056297	0.045853	0.028542
NW_008246512.1	631483	645916	0.398402	0.045897	0.037181	0.022180
NW_008246512.1	639511	656678	0.429188	0.054239	0.043325	0.023124
NW_008246512.1	645978	669634	0.703158	0.075606	0.065508	0.055494
NW_008246512.1	656754	680362	0.596234	0.088997	0.079819	0.070663
NW_008246512.1	669683	686512	0.423110	0.080743	0.063302	0.030081
NW_008246512.1	680379	693299	0.321658	0.047079	0.037778	0.023697
NW_008246512.1	686528	702453	0.383671	0.066638	0.057462	0.054625
NW_008246512.1	693381	709919	0.343352	0.082039	0.069687	0.058835
NW_008246512.1	702537	719730	0.262264	0.057414	0.047282	0.027786
NW_008246512.1	709950	727908	0.497735	0.077411	0.063868	0.042811
NW_008246512.1	719884	781798	0.507077	0.085815	0.071308	0.060499
NW_008246512.1	728103	797807	0.617761	0.108484	0.088587	0.068724
NW_008246512.1	781998	806866	0.614647	0.145285	0.117644	0.106627
NW_008246512.1	797891	813347	0.359267	0.136115	0.106374	0.089635
NW_008246512.1	807414	823933	0.317491	0.126108	0.088443	0.068924
NW_008246512.1	813357	832060	0.672800	0.137530	0.110546	0.134226
NW_008246512.1	823972	838010	0.829908	0.115918	0.106699	0.224771
NW_008246512.1	832149	849393	0.495698	0.094405	0.074181	0.107425
NW_008246512.1	838023	861378	0.494779	0.123925	0.083300	0.060837
NW_008246512.1	849416	870293	0.893064	0.173231	0.138217	0.100016
NW_008246512.1	861395	891960	0.859432	0.190670	0.146882	0.126391
NW_008246512.1	870440	897322	0.564561	0.148700	0.116238	0.154286
NW_008246512.1	892011	911683	0.463993	0.132600	0.099946	0.110696
NW_008246512.1	897354	921911	0.655181	0.165793	0.110820	0.066426
NW_008246512.1	911710	925984	0.809874	0.158647	0.118695	0.084593
NW_008246512.1	921954	942004	0.625260	0.131704	0.109129	0.103805
NW_008246512.1	926036	947767	0.030673	0.012354	0.009284	-0.003634
NW_008246512.1	942059	954826	-0.027750	-0.010991	-0.008014	-0.014237
NW_008246512.1	947776	958911	0.160530	0.041995	0.035074	0.024337
NW_008246512.1	954838	964975	0.112080	0.031659	0.028109	0.018748
NW_008246512.1	958959	968328	0.244935	0.049114	0.045975	0.041843
NW_008246512.1	965372	974251	0.284878	0.050690	0.042120	0.018993
NW_008246512.1	968499	987031	0.284169	0.066764	0.039142	0.008255
NW_008246512.1	974276	996414	0.691236	0.285895	0.195367	0.098171
NW_008246512.1	987064	1006794	0.813202	0.408025	0.267398	0.273950
NW_008246512.1	998087	1016547	0.776923	0.406310	0.248531	0.257315
NW_008246512.1	1007263	1031940	0.744119	0.543643	0.269563	0.412918
NW_008246512.1	1016564	1058724	0.764606	0.619344	0.306045	0.569761
NW_008246512.1	1031986	1066620	0.755306	0.499769	0.293862	0.396358
NW_008246512.1	1058742	1074072	0.772314	0.442243	0.267176	0.275867
NW_008246512.1	1066660	1080913	0.818034	0.497708	0.271892	0.251491
NW_008246512.1	1074076	1088326	0.871894	0.427626	0.275763	0.267520
