chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NW_008246512.1	18411	36968	0.428779	0.127207	0.115678	0.149615
NW_008246512.1	30177	45257	0.577595	0.272212	0.236735	0.232586
NW_008246512.1	37026	68018	0.231510	0.105312	0.088701	0.089488
NW_008246512.1	45262	89750	-0.061194	-0.017790	-0.015811	-0.019522
NW_008246512.1	68426	115191	-0.049373	-0.010655	-0.009118	-0.024900
NW_008246512.1	89766	125851	-0.051106	-0.012200	-0.009633	-0.018240
NW_008246512.1	115301	136865	0.011843	0.004407	0.003248	0.000925
NW_008246512.1	125860	156306	0.016181	0.007713	0.005897	0.005371
NW_008246512.1	136868	174879	0.038291	0.011466	0.009809	0.013823
NW_008246512.1	157541	196380	0.285105	0.066506	0.058936	0.065454
NW_008246512.1	175177	207180	0.308582	0.098531	0.082284	0.041480
NW_008246512.1	196381	225606	0.072622	0.023779	0.020556	0.011424
NW_008246512.1	207335	252581	0.113827	0.029945	0.026381	0.029276
NW_008246512.1	225625	272313	0.148872	0.026440	0.022538	0.053117
NW_008246512.1	252827	287624	0.088548	0.020249	0.017010	0.045502
NW_008246512.1	272557	301322	-0.044654	-0.016780	-0.014286	-0.020734
NW_008246512.1	287632	321978	-0.064314	-0.025793	-0.021179	-0.029931
NW_008246512.1	301523	341517	-0.004469	-0.001791	-0.001383	-0.001172
NW_008246512.1	322008	366102	-0.337021	-0.203672	-0.134308	-0.162094
NW_008246512.1	342163	379438	-0.052887	-0.049180	-0.032803	-0.053500
NW_008246512.1	366250	395759	0.300584	0.164463	0.139263	0.129725
NW_008246512.1	379544	418302	-0.045918	-0.013091	-0.011244	-0.017114
NW_008246512.1	395800	434710	-0.045745	-0.014601	-0.012641	-0.023318
NW_008246512.1	418537	462773	0.178064	0.076073	0.066646	0.109795
NW_008246512.1	434911	493065	0.198678	0.047600	0.042718	0.117620
NW_008246512.1	462790	562354	0.258175	0.027289	0.025377	0.089453
NW_008246512.1	493740	578171	0.224430	0.031502	0.028983	0.058839
NW_008246512.1	562359	591316	0.176741	0.080251	0.065538	0.062451
